t(s),X(m)_A,Y(m)_A,dX/dt(m/s)_A,dY/dt(m/s)_A,X(m)_B,Y(m)_B,dX/dt(m/s)_B,dY/dt(m/s)_B,X(m)_C,Y(m)_C,dX/dt(m/s)_C,dY/dt(m/s)_C,X(m)_D,Y(m)_D,dX/dt(m/s)_D,dY/dt(m/s)_D,X(m)_G,Y(m)_G,dX/dt(m/s)_G,dY/dt(m/s)_G,X(m)_H,Y(m)_H,dX/dt(m/s)_H,dY/dt(m/s)_H,X(m)_I,Y(m)_I,dX/dt(m/s)_I,dY/dt(m/s)_I,X(m)_J,Y(m)_J,dX/dt(m/s)_J,dY/dt(m/s)_J,X(m)_L,Y(m)_L,dX/dt(m/s)_L,dY/dt(m/s)_L,X(m)_M,Y(m)_M,dX/dt(m/s)_M,dY/dt(m/s)_M
19005.4,3024.3669,1852.8087,-2.9078,8.515,3018.9394,1816.129,4.6642,7.2527,3016.4018,1814.8505,6.1769,7.6999,3016.2916,1818.6283,4.0689,6.7063,3036.2804,1839.6259,-0.0586,9.0927,3019.7704,1812.1118,6.8579,6.6932,3016.7839,1816.037,3.3783,7.1408,3017.8066,1808.1617,8.2986,8.0963,3020.8959,1811.4492,6.0994,7.498,3028.3911,1855.3497,-6.5718,6.9882
19005.6,3023.7312,1854.5182,-3.5774,8.5311,3019.8489,1817.6033,4.4227,7.4861,3017.5838,1816.4134,5.6391,7.944,3017.0735,1819.9837,3.7405,6.8347,3036.1669,1841.4552,-1.0788,9.1645,3021.0844,1813.4808,6.2713,7.0283,3017.4544,1817.4805,3.3186,7.2759,3019.4018,1809.8258,7.623,8.5362,3022.1148,1812.9579,6.0602,7.6075,3026.9915,1856.6953,-7.411,6.436
19005.8,3022.9359,1856.2212,-4.4969,8.4058,3020.7085,1819.1234,4.1724,7.7303,3018.6575,1818.0281,5.0981,8.2,3017.7878,1821.3622,3.3858,6.934,3035.8489,1843.2917,-2.0849,9.1635,3022.2789,1814.9231,5.6792,7.4089,3018.1113,1818.9474,3.2301,7.3686,3020.8558,1811.5762,6.908,8.9432,3023.32,1814.4922,5.9268,7.7616,3025.4267,1857.924,-8.2002,5.8238
19006.0,3021.9325,1857.8805,-5.5879,8.0719,3021.5179,1820.6955,3.9168,8.0129,3019.6231,1819.6934,4.5624,8.4335,3018.4278,1822.7574,2.9896,7.0131,3035.3329,1845.1206,-3.0457,9.0899,3023.3561,1816.4444,5.1057,7.7997,3018.7464,1820.428,3.0986,7.4283,3022.165,1813.4031,6.2031,9.2906,3024.4855,1816.0625,5.6446,7.9725,3023.7114,1859.0248,-8.8944,5.1544
19006.2,3020.7008,1859.4499,-6.6866,7.5149,3022.2752,1822.3286,3.6416,8.3273,3020.4824,1821.4015,4.0417,8.6223,3018.9837,1824.1674,2.547,7.093,3034.6306,1846.9276,-3.9426,8.9465,3024.3212,1818.043,4.5569,8.1681,3019.3508,1821.9187,2.9262,7.4991,3023.337,1815.2924,5.5591,9.5574,3025.5778,1817.6812,5.2006,8.2447,3021.8689,1859.9858,-9.4584,4.4205
19006.4,3019.2578,1860.8865,-7.6537,6.7629,3022.9745,1824.0264,3.3237,8.637,3021.2397,1823.1424,3.5458,8.7701,3019.4466,1825.5946,2.0748,7.187,3033.7559,1848.6992,-4.7661,8.7384,3025.1788,1819.7116,4.0143,8.4978,3019.9168,1823.4276,2.7115,7.6239,3024.3886,1817.2261,5.0086,9.7298,3026.5658,1819.3604,4.6299,8.5654,3019.928,1860.793,-9.8788,3.6175
19006.6,3017.6393,1862.1551,-8.4563,5.8471,3023.6047,1825.7833,2.9418,8.8994,3021.9008,1824.9095,3.0781,8.8959,3019.8136,1827.0422,1.6039,7.2943,3032.7242,1850.423,-5.5138,8.4713,3025.9269,1821.4421,3.444,8.7958,3020.4354,1824.9683,2.447,7.8052,3025.3405,1819.1843,4.5523,9.8124,3027.4298,1821.1074,3.9978,8.8995,3017.9174,1861.4328,-10.1681,2.7609
19006.8,3015.8753,1863.2253,-9.1408,4.7825,3024.1512,1827.5861,2.4822,9.0928,3022.471,1826.7007,2.6259,9.0135,3020.0882,1828.5123,1.1566,7.4089,3031.5504,1852.0877,-6.1905,8.1504,3026.5564,1823.2299,2.8171,9.0816,3020.8957,1826.5497,2.1321,8.0102,3026.2095,1821.1511,4.1572,9.8376,3028.1649,1822.9202,3.3659,9.2077,3015.8608,1861.8974,-10.3605,1.8889
19007.0,3013.983,1864.0681,-9.7498,3.5857,3024.5976,1829.4204,1.9437,9.2268,3022.9511,1828.5149,2.1653,9.1206,3020.2763,1830.0058,0.7356,7.5284,3030.248,1853.6832,-6.8027,7.7847,3027.0538,1825.0748,2.1271,9.3671,3021.2882,1828.1724,1.7787,8.2084,3027.0033,1823.1193,3.767,9.8528,3028.7762,1824.7904,2.7666,9.478,3013.7732,1862.1883,-10.4953,1.0525
19007.2,3011.9754,1864.6596,-10.2808,2.3072,3024.9287,1831.2768,1.3404,9.3317,3023.3371,1830.3489,1.6796,9.2085,3020.3825,1831.5236,0.3363,7.6546,3028.8293,1855.2016,-7.3506,7.3918,3027.4073,1826.9767,1.3897,9.6408,3021.6071,1829.8331,1.3974,8.3975,3027.7163,1825.0922,3.3259,9.8946,3029.2715,1826.7114,2.1954,9.7305,3011.6627,1862.3183,-10.5991,0.2961
